#;Título;Cliente;Sistema;Criado em;Concluído;Autor;Descrição;Últimas notas
138617;[BNY] [MCI] [TICKET 22467411/INC10592318] - Lentidão Exportação  ;BNY Mellon;MCI;31/01/2025 19:22 h;31/01/2025 19:24 h;Filipe Costa;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:22467411
SOLICITANTE CLIENTE:Julia farias
DATA DA SOLICITAÇÃO DO CLIENTE:31/01/2025
TICKET EXTERNO:INC10592318
MÓDULO: I  Exportação / Contabil  
TRANSAÇÃO:  Interface / Exportação / Contabil por data 
TÍTULO DA TAREFA: [BNY] [MCI] [TICKET 22467411/INC10592318] - Lentidão Exportação  
DESCRIÇÃO DA SOLICITAÇÃO:** 
SOLICITACAO DE ATENDIMENTO DIMENSA
SISTEMA:	SAC		AMPLIS		SLM		FRONT		SECURITY	 	MCI	x 	SAT	 		 
TICKET:	22467411 
SOLICITANTE:	Julia Farias 
INCIDENTE:	INC10592318 
ANALISTA:	FILIPE LOUREIRO COSTA
MÓDULO:	  Contábil  - Exportação      
TRANSAÇÃO:	 Interface / Exportação / Contabil por data   
 PROBLEMA	[BNY] [MCI] [TICKET 22467411/INC10592318] - Lentidão Exportação  
 SOLUÇÃO	   Leila ,Conforme comunicado na nossa reunião, realizamos o teste de exportação contábil na versão anterior a virada de 17/01/25 (Build 042) e na versão posterior da virada (Build 043) e em ambas apresentaram o mesmo tempo  conforme evidencia em anexo. 


teste foi efetuado na data de 31/10/2024 ? data do ambiente DSV e com script Accounting FIF12 contendo 75 fundos  

Conforme orientação, é necessário atualizar um ambiente de testes (UAT, MNT ou TST do MCI Onshore com a build 042 (anterior) e metrificar a exportação e realizar em seguida o mesmo teste com a Build da virada 043 (utilizando os mesmos parãmetros ? data e script de fundo) 
Build Antes - 042 
Transação	Inicio	Fim	Tempo Exportação
Interface Contábil 	13:33	13:33	poucos segundos  
Interface Contábil por Data	14:01	14:01	poucos segundos  



Build Antes - 043 
Transação	Inicio	Fim	Tempo Exportação
Interface Contábil 	13:54	13:54	poucos segundos  
Interface Contábil por Data	14:05	14:05	poucos segundos  

 

Att  

FILIPE COSTA 
";""
138602;[3943 ] ?[ SAC / WH ] [Ticket 22525846 ] [ Redmine 138602 ]  Demonstrativo de Caixa Incorreto - Novo Portal;Santander Custódia;SAC;31/01/2025 17:23 h;03/02/2025 09:56 h;Sebastiao Otunes Alves;"Abaixo evidências:

Abrirmos o chamado técnico de número 3943.

Fundo CUST4474 em 24/01

Caixa no sac:

 

Caixa no site novo: 


Atenciosamente,


";"Conforme apurado com o Soto o ""Novo Portal"" não é de responsabilidade da Dimensa.
Chamado cancelado."
138552;[SANTANDER] [SAC] [TICKET 22520022/REDMINE 138552] - [3941] - Script para desbloqueio de ações - BASE ASSET;Santander Asset;SAC;31/01/2025 11:53 h;31/01/2025 13:03 h;Bruno Visconti Guidotte;"Bom dia,
 
Por gentileza rodar script para que a posição do 1318 permaneça conforme abaixo:

BBAS3
Qtd Disponível: 51.900
Qtd Bloqueada: 0
Qtd Total: 51.900

GGBR4
Qtd Disponível: 76.742
Qtd Bloqueada: 0
Qtd Total: 76.742

ITSA4
Qtd Disponível: 149.375
Qtd Bloqueada: 0
Qtd Total: 149.375


Nº chamado: 3941
 
A data do desbloqueio precisa ser com a data de 30/01/2025 e precisamos que o script seja rodado hoje.
";""
138551;[SANTANDER] [SAC] [TICKET 22519829/REDMINE 138551] - [3940] - Script para desbloqueio de ações - BASE ASSET;Santander Asset;SAC;31/01/2025 11:45 h;31/01/2025 13:02 h;Bruno Visconti Guidotte;"Bom dia,
 
Por gentileza rodar script para que a posição do 1216 permaneça conforme abaixo:

BBAS3
Qtd Disponível: 323.300
Qtd Bloqueada: 0
Qtd Total: 323.300

GGBR4
Qtd Disponível: 467.681
Qtd Bloqueada: 0
Qtd Total: 467.681

ITSA4
Qtd Disponível: 911.125
Qtd Bloqueada: 0
Qtd Total: 911.125

RENT3
Qtd Disponível: 150.819
Qtd Bloqueada: 0
Qtd Total: 150.819


Nº chamado: 3940
 
A data do desbloqueio precisa ser com a data de 30/01/2025 e precisamos que o script seja rodado hoje.
";""
138507;[SANTANDER] [SAC] [TICKET 22514985/ REDMINE 138507] - WH/SAC - Alterar a data de vencimento para o empréstimo abaixo;Santander Custódia;SAC;31/01/2025 05:34 h;31/01/2025 05:44 h;Saulo Loureiro;"SOLICITACAO DE ATENDIMENTO DIMENSA

**TICKET ZENDESK: 22514985
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 22514985
MÓDULO: RENDA VARIÁVEL
TÍTULO DA TAREFA: Alterar a data de vencimento para o empréstimo abaixo:
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Altair Fuza )
-- Alterar a data de vencimento para o empréstimo abaixo:
-- Carteira CUST4133  Papel VIVT3 - Id Movto: 5128343
-- Dt. Vencto. De: 26/02/25  Para: 30/01/25";"SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
WHERE ID_MOVIMENTO= 5128343
  AND CLCLI_CD = 'CUST4133'
  AND RVPAP_CD = 'VIVT3'
  AND DT_VENCIMENTO = '26-FEB-2025';

UPDATE SAC_RV_EMPRESTIMO_ACOES
   SET DT_VENCIMENTO = '30-JAN-2025'
WHERE ID_MOVIMENTO= 5128343
  AND CLCLI_CD = 'CUST4133'
  AND RVPAP_CD = 'VIVT3'
  AND DT_VENCIMENTO = '26-FEB-2025';
  

SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
WHERE ID_MOVIMENTO = 4993810
 OR ID_OPERACAO_EMPR_ACOES = 4993810 ;

UPDATE SAC_RV_EMPRESTIMO_ACOES
SET DT_VENCIMENTO = TO_DATE ('01/30/2025', 'MM/DD/YYYY')
WHERE ID_MOVIMENTO = 4993810 AND DT_MOVIMENTO = TO_DATE ('11/28/2024', 'MM/DD/YYYY');


--  dados  atualizados  com sucesso!!"
138503;[SANTANDER] [SAC] [TICKET 22514983/ REDMINE 138503] - WH/SAC - Excluir Operações Duplicadas - Liquidações de Empr. Ações  Data: 30/01/25;Santander Custódia;SAC;31/01/2025 05:25 h;31/01/2025 05:34 h;Saulo Loureiro;"SOLICITACAO DE ATENDIMENTO DIMENSA

**TICKET ZENDESK: 
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 
MÓDULO: RENDA VARIÁVEL
TÍTULO DA TAREFA: Excluir Operações Duplicadas - Liquidações de Empr. Ações
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Altair Fuza )
-- Excluir Operações Duplicadas - Liquidações de Empr. Ações  Data: 30/01/25";"-- BUSCA OPERAÇÕES DUPLICADAS DE  DEVOLUCAO NAO ORIUNDO DE RENOVACAO
SELECT COUNT(*) CONTADOR, MAX(ID_MOVIMENTO) MAXA,  CLCLI_CD, RVPAP_CD, ID_OPERACAO_EMPR_ACOES, RVCOR_CD, IC_TIPO_MOVIMENTO, DT_VENCIMENTO, QT_MOVIMENTADA , NO_CONTRATO
FROM SAC_RV_EMPRESTIMO_ACOES
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'D'
   AND ID_MOV_ORIG_RENOV_ANTEC IS NULL
   AND ID_OPERACAO_EMPR_ACOES NOT IN ( SELECT E1.ID_OPERACAO_EMPR_ACOES
                                         FROM SAC_RV_EMPRESTIMO_ACOES E1
                                        WHERE E1.DT_MOVIMENTO = '30-JAN-2025'
                                          AND E1.SG_OPERACAO = 'R' )                                          
  GROUP BY CLCLI_CD, RVPAP_CD, ID_OPERACAO_EMPR_ACOES,RVCOR_CD, IC_TIPO_MOVIMENTO, DT_VENCIMENTO, QT_MOVIMENTADA , NO_CONTRATO 
  HAVING COUNT(*) > 1
 ORDER BY CLCLI_CD, RVPAP_CD, ID_OPERACAO_EMPR_ACOES, RVCOR_CD, IC_TIPO_MOVIMENTO, DT_VENCIMENTO, QT_MOVIMENTADA , NO_CONTRATO;


SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
WHERE ID_MOVIMENTO IN (5144298, 5144291, 5144232, 5144494, 
					   5144488, 5144687, 5144532, 5144463, 
					   5144460, 5144533, 5146463, 5144916 );


DELETE FROM SAC_RV_EMPRESTIMO_ACOES
WHERE ID_MOVIMENTO IN (5144298, 5144291, 5144232, 5144494, 
					   5144488, 5144687, 5144532, 5144463, 
					   5144460, 5144533, 5146463, 5144916 );


-- registros excluídos com sucesso!!"
138501;[SANTANDER] [SAC] [TICKET 22514980/ REDMINE 138501] - WH/SAC - Alterar Valor Taxa de Remuneração para os Empréstimos de Renovação ;Santander Custódia;SAC;31/01/2025 05:21 h;31/01/2025 05:31 h;Saulo Loureiro;"SOLICITACAO DE ATENDIMENTO DIMENSA

**TICKET ZENDESK: 22514980
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 22514980
MÓDULO: RENDA VARIÁVEL
TÍTULO DA TAREFA: Alterar Valor Taxa de Remuneração para os Empréstimos de Renovação
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Altair Fuza )
-- Alterar Valor Taxa de Remuneração para os Empréstimos de Renovação Data: 30/01/25
-- Papel  DASA3  De:  15.90  Para:  15.94
-- Papel  MOVI3  De:   1.32  Para:   1.33
-- Papel  RAIZ4  De:  13.80  Para:  13.85";"SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'DASA3'
   AND VL_TX_REMUNERACAO = 15.90;

SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'MOVI3'
   AND VL_TX_REMUNERACAO = 1.32;

SELECT * FROM SAC_RV_EMPRESTIMO_ACOES
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'RAIZ4'
   AND VL_TX_REMUNERACAO = 13.80;


UPDATE SAC_RV_EMPRESTIMO_ACOES
   SET VL_TX_REMUNERACAO = 15.94
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'DASA3'
   AND VL_TX_REMUNERACAO = 15.90;

UPDATE SAC_RV_EMPRESTIMO_ACOES
   SET VL_TX_REMUNERACAO = 1.33
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'MOVI3'
   AND VL_TX_REMUNERACAO = 1.32;

UPDATE SAC_RV_EMPRESTIMO_ACOES
   SET VL_TX_REMUNERACAO = 13.85
 WHERE DT_MOVIMENTO = '30-JAN-2025'
   AND SG_OPERACAO = 'R'
   AND RVPAP_CD = 'RAIZ4'
   AND VL_TX_REMUNERACAO = 13.80;

-- dados atualizados com sucesso!!
"
138498;[SANTANDER] [SAC] [TICKET 22514978/ REDMINE 138498] - WH/SAC -  Excluir Movimentação de Futuros no SAC;Santander Custódia;SAC;31/01/2025 05:14 h;31/01/2025 05:19 h;Saulo Loureiro;"SOLICITACAO DE ATENDIMENTO DIMENSA

**TICKET ZENDESK: 22514978
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 22514978
MÓDULO: FUTUROS
TÍTULO DA TAREFA: Excluir Movimentação de Futuros no SAC
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Eduardo Matheus )
-- Excluir Movimentação de Futuros no SAC - Data: 30/01/25
-- Carteira: TCES35763";"SELECT * FROM SAC_FU_MOV
WHERE CLCLI_CD = 'TCES35763'
  AND DT =	'30-JAN-2025';

DELETE FROM SAC_FU_MOV
WHERE CLCLI_CD = 'TCES35763'
  AND DT =	'30-JAN-2025';

2080 registros excluídos com sucesso!"
138495;[SANTANDER] [FRONT] [TICKET 22514975/ REDMINE 138495] - WH/FRONT -  Alterar Status de Registros Boletagem Futuros Front;Santander Custódia;FRONT;31/01/2025 05:07 h;31/01/2025 05:10 h;Saulo Loureiro;"SOLICITACAO DE ATENDIMENTO DIMENSA

**TICKET ZENDESK: 22514975
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 22514975
MÓDULO: FUTUROS
TÍTULO DA TAREFA: Alterar Status de Registros Boletagem Futuros Front
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Eduardo Barreiros )
-- Alterar Status de Registros Boletagem Futuros Front - Data: 30/01/25
-- Carteira: CUST4421 - Importação Indevida de Boletos";"-- Ajustando situação de registros no NETBOL
SELECT * FROM WH.NETBOL_FU_MOVIMENTO
WHERE DT_MOVIMENTO = '30-JAN-2025'
  AND CD_CLIENTE = 'CUST4421'
  AND SG_STATUS = 'A';
   
UPDATE WH.NETBOL_FU_MOVIMENTO
  SET SG_STATUS = 'X'
WHERE DT_MOVIMENTO = '30-JAN-2025'
  AND CD_CLIENTE = 'CUST4421'
  AND SG_STATUS = 'A'; 
 
-- Ajustando situação de registros no FRONT  
SELECT * FROM SBE_FU_DISTRIBUICAO
WHERE DT_MOVIMENTO = '30-JAN-2025'
 AND TRIM(CD_CLIENTE) = 'CUST4421'
 AND SG_STATUS NOT IN ('R', 'I' );

UPDATE SBE_FU_DISTRIBUICAO
  SET SG_STATUS = 'X'
WHERE DT_MOVIMENTO = '30-JAN-2025'
 AND TRIM(CD_CLIENTE) = 'CUST4421'
 AND SG_STATUS NOT IN ('R', 'I' );

-- dados alterados com sucesso!"
138492;[SANTANDER] [FRONT] [TICKET 22514973/ REDMINE 138492] - WH/SAC - Alterar Agente Compensação - Distribuição Boletagem RV Front;Santander Custódia;SAC;31/01/2025 05:01 h;31/01/2025 05:06 h;Saulo Loureiro;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22514973
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 31/01/2025
TICKET EXTERNO: 22514973
MÓDULO: RENDA VARIÁVEL
TÍTULO DA TAREFA: Alterar Agente Compensação - Distribuição Boletagem RV Front
DESCRIÇÃO DA SOLICITAÇÃO:
-- CUSTÓDIA ( Usuário: Eduardo Barreiros )
-- Alterar Agente Compensação - Distribuição Boletagem RV Front - Data: 30/01/25
-- Carteira: CUST1718 - Ag. Comp De: FIXO  Para: UBSCCTVM (Corretora)";"SELECT * FROM SBE_RV_DISTRIBUICAO
WHERE DT_MOVIMENTO = '30-JAN-2025'
 AND TRIM(CD_CLIENTE) = 'CUST1718';

UPDATE  SBE_RV_DISTRIBUICAO
  SET CD_AGENTE_COMPENSACAO = CD_CORRETORA
WHERE DT_MOVIMENTO = '30-JAN-2025'
 AND TRIM(CD_CLIENTE) = 'CUST1718';

-- dados  atualizados com sucesso!"
138491;[BNY] [SAC] [ZENDESK22527678/REDMINE138491][SUBSCRICAO] - LIQUIDACAO_BTC_TOMADOR_EM_D0_DATA_EX_ELETRONICO_D+0;BNY Mellon;SAC;31/01/2025 04:54 h;01/02/2025 04:13 h;Markus Leon Schvartzman;"TICKET ZENDESK:
SOLICITANTE CLIENTE: REFFANIA
DATA DA SOLICITAÇÃO DO CLIENTE:PROJETO SUBSCRIÇÃO
MÓDULO:RENDA VARIÁVEL
TRANSAÇÃO:PROCESSAMENTO DE RENDA VARIÁVEL
TÍTULO DA TAREFA:[BNY] [SAC] [ZENDESK/REDMINE] - LIQUIDACAO_BTC_TOMADOR_EM_D0_DATA_EX_ELETRONICO_D+0
DESCRIÇÃO DA SOLICITAÇÃO:
PROJETO DE SUBSCRIÇÃO PARA VERIFICAÇÃO DOS CENÁRIOS DE BTC";"Este redmine foi corrigido pelo redmine 138341, portanto não será gerada uma build.
Foi feito a validação utilizando o mesmo SRV138341 e o cenário ficou correto. Finalizado."
138481; [ SANTANDER ] ? [ Ticket 22514747 ] [ Redmine 138481 ] ? excluir operações de rolagem, tudo que for FUT DR1;Santander Asset;SAC;30/01/2025 21:56 h;31/01/2025 14:30 h;Sebastiao Otunes Alves;"boa noite!

favor excluir operações de rolagem, tudo que for FUT DR1";Script executado
138477;[BNP] [MCA] [TICKET 22474463/CZBR2SITADM-931] - Conciliação de RF - SELIC Definitiva;BNP;MCA;30/01/2025 19:43 h;11/04/2025 15:53 h;Thiago Pedroso David;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:22474463
SOLICITANTE CLIENTE:Danilo CARDEAL
DATA DA SOLICITAÇÃO DO CLIENTE:27/01/2025
TICKET EXTERNO:CZBR2SITADM-931
MÓDULO:MCA
TRANSAÇÃO:CONCILIAÇÕES/RENDA FIXA/SELIC/POSIÇÃO DE CUSTODIA - DEFINITIVA
TÍTULO DA TAREFA:Conciliação de RF - SELIC Definitiva
DESCRIÇÃO DA SOLICITAÇÃO:**
From: CARDEAL Danilo <danilo.cardeal@br.bnpparibas.com> 
Sent: terça-feira, 21 de janeiro de 2025 18:23
To: DORNELLES Virginia <virginia.dornelles@consultant.bnpparibas.com>; DAVID Thiago <thiago.david@consultant.bnpparibas.com>; RODRIGUES O Caroline <caroline.o.rodrigues@br.bnpparibas.com>
Cc: DL BR-BNPPCONTROLS <bnppcontrols@br.bnpparibas.com>; PRADO Eduardo <eduardo.prado@br.bnpparibas.com>; RANGEL Rogerio <rogerio.rangel@br.bnpparibas.com>; ALVES Karine <karine.alves@br.bnpparibas.com>; SALERMO Cyro <cyro.salermo@br.bnpparibas.com>; SILVA C Marcio <marcio.c.silva@br.bnpparibas.com>; GASPE Guilherme <guilherme.gaspe@br.bnpparibas.com>
Subject: RES: ABERTURA DE CHAMADO YMF-MCA - Conciliação de RF - SELIC Definitiva
 
@DAVID Thiago,
 
Conforme falamos a pouco o Bug referente a operação a termo (venda) ainda continua no MCA, seguem evidências:
 
@RODRIGUES O Caroline, das 3 correções, ficou pendente apenas essa.
";Encerramento realizado devido ao item já se encontrar finalizado no Zendesk.
138470;[BNY] [FRONT] [TICKET 22513613/INC10638957 / REDMINE 138470]Ajuda com arquivo de entrada no FRONT para modulo de SWAP;BNY Mellon;FRONT;30/01/2025 18:51 h;06/02/2025 20:31 h;Priscila Machado Teruel;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:
TÍTULO DA TAREFA: 22513613
SOLICITANTE CLIENTE: MARCIO / VICTOR
DATA DA SOLICITAÇÃO DO CLIENTE: 30/01/2024
TICKET EXTERNO: INC10638957
MÓDULO:IMPORTAÇÃO / GATEWAY
TRANSAÇÃO: IMPORTAÇÃO / SWAP
TÍTULO DA TAREFA: [BNY] [FRONT] [TICKET 22513613/INC10638957 / REDMINE]Ajuda com arquivo de entrada no FRONT para modulo de SWAP
DESCRIÇÃO DA SOLICITAÇÃO:*Preciso de ajuda com arquivo de entrada no FRONT para modulo de SWAP. Layout de importação com mensagem de erro ""Erro ao carregar movimentos""*";Chamado encerrado
138442;[SANTANDER] [SAC] [TICKET 22512771/REDMINE 138442] - [3934] - ALTERAR VENCIMENTO - URGENTE ;Santander Custódia;SAC;30/01/2025 16:49 h;30/01/2025 19:13 h;Bruno Visconti Guidotte;"
BASE CUSTODIA

Favor alterar o vencimento para 29-01-2025, conforme relatório em anexo.

OBS: FAVOR RODAR ATE 18:HS
";Script rodado depois da aprovação
138423;[SANTANDER] [SECURITY] [3930] [ZENDESK / REDMINE] YS/SECURITY - Ativação Usuário Base YMF YS ASSET e WH Custódia;Santander Custódia;SECURITY;30/01/2025 15:54 h;30/01/2025 15:55 h;Eduardo Jose dos Santos;"
Boa noite
 
Poderiam realizar a ativação do login , na base YMF YS ASSET e WH CUSTÓDIA
O usuário, foi efetivado
.
Base YS ASSET
Nome: Lucas Vinicius Souza Alves
Matrícula: T775734

Base WH CUSTÓDIA
Nome: Lucas Vinicius Souza Alves
Matrícula: T775734

Solicitação de Atendimento - SECURITY YS (Nº Chamado: 3929)
Solicitação de Atendimento - SECURITY WH (Nº Chamado: 3930)
";"aJUSTE APLICADO NO CLIENTE

SELECT * FROM SSY_USUARIOS WHERE NICK_NAME='T775734'




UPDATE SACCUSTODIA.SSY_USUARIOS
SET  DT_ATUALIZACAO_SENHA = TO_DATE ('01/30/2025 02:48:52', 'MM/DD/YYYY HH:MI:SS AM')
	,SG_STATUS = 'A'
WHERE COD_USUARIO = '1633';
"
138425;[SANTANDER] [SECURITY] [3930] [ZENDESK / REDMINE] YS/SECURITY - Ativação Usuário Base YMF YS ASSET e WH Custódia;Dimensa;SECURITY;30/01/2025 15:55 h;30/01/2025 15:55 h;Eduardo Jose dos Santos;"
aJUSTE APLICADO NO CLIENTE

SELECT * FROM SSY_USUARIOS WHERE NICK_NAME='T775734'




UPDATE SACCUSTODIA.SSY_USUARIOS
SET  DT_ATUALIZACAO_SENHA = TO_DATE ('01/30/2025 02:48:52', 'MM/DD/YYYY HH:MI:SS AM')
	,SG_STATUS = 'A'
WHERE COD_USUARIO = '1633';

";""
138420;[SANTANDER] [SECURITY] [3929] YS/SECURITY - Ativação Usuário Base YMF YS ASSET e WH Custódia;Santander Asset;SECURITY;30/01/2025 15:45 h;30/01/2025 15:48 h;Eduardo Jose dos Santos;"Boa noite
 
Poderiam realizar a ativação do login , na base YMF YS ASSET e WH CUSTÓDIA
O usuário, foi efetivado
.
Base YS ASSET
Nome: Lucas Vinicius Souza Alves
Matrícula: T775734

Base WH CUSTÓDIA
Nome: Lucas Vinicius Souza Alves
Matrícula: T775734

Solicitação de Atendimento - SECURITY YS (Nº Chamado: 3929)
Solicitação de Atendimento - SECURITY WH (Nº Chamado: 3930)
";"Ajuste aplicado no cliente.
SELECT * FROM SSY_USUARIOS WHERE NICK_NAME='T775734'

UPDATE SAC.SSY_USUARIOS
SET DT_ATUALIZACAO_SENHA = TO_DATE ('01/30/2025 02:48:52', 'MM/DD/YYYY HH:MI:SS AM')
	,SG_STATUS = 'A'
WHERE COD_USUARIO = '1963';
"
138421;[SANTANDER] [SECURITY] [3929] YS/SECURITY - Ativação Usuário Base YMF YS ASSET e WH Custódia;Dimensa;SECURITY;30/01/2025 15:46 h;30/01/2025 15:46 h;Eduardo Jose dos Santos;"Ajuste aplicado no cliente
";"SELECT * FROM SSY_USUARIOS WHERE NICK_NAME='T775734'

UPDATE SAC.SSY_USUARIOS
SET DT_ATUALIZACAO_SENHA = TO_DATE ('01/30/2025 02:48:52', 'MM/DD/YYYY HH:MI:SS AM')
	,SG_STATUS = 'A'
WHERE COD_USUARIO = '1963';
"
138393;[INTER] [JCOT] [TICKET 22507281] [REDMINE 138393] - Cotistas Sem Posição na Base Fria ;Banco Inter;JCOT;30/01/2025 13:44 h;05/02/2025 10:11 h;Carolina Novais Pereira;"Cliente entrou em contato reportando que identificou dois cotistas que não estão carregando posição na base fria. 
e por algum motivo no JCOT, os movimentos desses cotistas estão sem data de conversão e não são identificados no movimento, porem aparecem na posição do fundo. 
Cotistas: 359504299 e 313949492. Fundo BEM00034


";""
138382;[INTER] [JCOT] [TICKET 22506369] [REDMINE 138382] - Homologação 24x07 - Ajuste Relatório Relação de Pagamento ;Banco Inter;JCOT;30/01/2025 11:19 h;10/03/2025 16:41 h;Carolina Novais Pereira;"Cliente entrou em contato reportando o ponto abaixo em relação a sua homologação da nova rotina de fundos 24x07. 
 
Foi desenvolvido na rotina o relatório ""Relação de Pagamentos"", em que são gerados fundos 24x07, que utilizaram uma cota antecipada para realizar o pagamento do resgate. 
 
O cliente aponta que, nesse relatório não pode ser gerado apenas para os fundos 24x07, que utilizaram uma cota antecipada, mas sim para todos os fundos parametrizados como 24x07, independentemente se utilizaram ou não a cota antecipada, dado seus pontos de conciliação com sua area contábil. ";"Correção entregue conforme data prometida em 04/02/2025 14:46, através do Ticket:
[INTER][JCOT] TICKET 22551899 - Entrega de Versão 24.12.250204"
138371;[SANTANDER] [SAC] [3933] YS/SAC - Script para desbloqueio de ações - BASE ASSET;Santander Custódia;SAC;30/01/2025 10:53 h;30/01/2025 12:04 h;Eduardo Jose dos Santos;"Bom dia,
 
Por gentileza rodar script para que a posição do 0204 permaneça conforme abaixo:

BBAS3
Qtd Disponível: 30.900
Qtd Bloqueada: 0
Qtd Total: 30.900

CMIG4
Qtd Disponível: 67.900
Qtd Bloqueada: 0
Qtd Total: 67.900

EQTL3
Qtd Disponível: 38
Qtd Bloqueada: 0
Qtd Total: 38

FLRY3
Qtd Disponível: 42.035
Qtd Bloqueada: 0
Qtd Total: 42.035

GGBR4
Qtd Disponível: 37.300
Qtd Bloqueada: 0
Qtd Total: 37.300
 
ITSA4
Qtd Disponível: 107.227
Qtd Bloqueada: 0
Qtd Total: 107.227

KLBN11
Qtd Disponível: 34.560
Qtd Bloqueada: 0
Qtd Total: 34.560

LREN3
Qtd Disponível: 66.465
Qtd Bloqueada: 0
Qtd Total: 66.465

RADL3
Qtd Disponível: 36.104
Qtd Bloqueada: 0
Qtd Total: 36.104

SLCE3
Qtd Disponível: 18.280
Qtd Bloqueada: 0
Qtd Total: 18.280




 


Nº chamado: 3933
 
A data do desbloqueio precisa ser com a data de 29/01/2025 e precisamos que o script seja rodado hoje.
";Ajuste executado conforme solicitação.
138364;[SANTANDER] [SAC] [3932] WH/MCA - POSIÇÃO CLEARING DO CUST4274 NÃO ESTÁ VINDO AUTOMATICAMENTE NA CONCILIAÇÃO DE FUTUROS NO MCA WH - CHAMADO: 3932;Santander Custódia;MCA;30/01/2025 10:26 h;31/01/2025 11:52 h;Eduardo Jose dos Santos;"Pessoal, bom dia!

Tudo bem?

A posição da Clearing do fundo CUST4274 não está vindo automaticamente na conciliação de futuros no MCA WH.

O cadastro está realizado corretamente o compromisso fechado junto a corretora, mas estou conciliando manualmente devido a falta da posição no MCA.

Podem nos ajudar com isso, por gentileza?
";"Pedro,
Bom dia.

Verificamos que os fundos CUST4274 e CUST4247 possuem o mesmo código CBLC e BMF, poderia ajustar e importar novamente o imbarq?
"
138349;[SANTANDER] [SAC] [TICKET 22501847/ REDMINE 138349] - WH/SAC - Solicitação de apoio para identificar operações de RV;Santander Custódia;SAC;30/01/2025 05:14 h;30/01/2025 05:17 h;Saulo Loureiro;"**TICKET ZENDESK: 22501847
SOLICITANTE CLIENTE: SANTANDER
DATA DA SOLICITAÇÃO DO CLIENTE: 30/01/2025
TICKET EXTERNO: 22501847
MÓDULO: RENDA VARIÁVEL
TÍTULO DA TAREFA: Solicitação de apoio para identificar operações de RV
DESCRIÇÃO DA SOLICITAÇÃO:
Usuário Luiz Patrício solicitou apoio para para descobrir quais eram as operações de empréstimos referente ao lançamento no caixa. Operação identificada e enviada para o usuário.";""
